STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",1/4/2018,,,,,0.21,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",1/5/2018,,,,,0.34,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",1/8/2018,,,,,0.04,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",1/9/2018,,,,,2.17,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",1/10/2018,,,,,0.72,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",2/13/2018,,,,,0.07,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",2/14/2018,,,,,0.08,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",2/15/2018,,,,,0.05,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",2/27/2018,,,,,0.05,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",3/2/2018,,,,,2.45,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",3/3/2018,,,,,0.42,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",3/4/2018,,,,,0.2,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",3/11/2018,,,,,1.07,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",3/13/2018,,,,,0.16,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",3/15/2018,,,,,0.65,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",3/16/2018,,,,,0.02,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",3/17/2018,,,,,0.47,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",3/21/2018,,,,,0.97,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",3/22/2018,,,,,1.95,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",3/23/2018,,,,,1.2,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",4/19/2018,,,,,0.13,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",5/2/2018,,,,,0.22,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",5/12/2018,,,,,0.03,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",5/13/2018,,,,,0.05,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",5/24/2018,,,,,0.06,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",5/25/2018,,,,,0.08,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",5/30/2018,,,,,0.01,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",6/17/2018,,,,,0.2,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",10/4/2018,,,,,0.44,,,,,,,,,,,,,,
